word,category
十强,positive
千变万化,positive
千载难逢,positive
千里马,positive
千金,positive
千锤百炼,positive
升值,positive
升华,positive
升官,positive
升幅,positive
升格,positive
升温,positive
升级,positive
升级换代,positive
升级版,positive
升职,positive
升迁,positive
升高,positive
华丽,positive
华年,positive
华彩,positive
华章,positive
华美,positive
华贵,positive
协作,positive
协力,positive
协助,positive
协同效应,positive
协调,positive
卓尔不群,positive
卓有,positive
卓有成效,positive
卓然,positive
卓立,positive
卓绝,positive
卓著,positive
卓见,positive
卓识,positive
卓越,positive
卓越的,positive
博大,positive
博大精深,positive
博学,positive
博得,positive
博爱,positive
博览,positive
博雅,positive
占优,positive
占优势,positive
占据,positive
占据主动,positive
占有优势,positive
占领,positive
占领市场,positive
卫冕,positive
印象深刻的,positive
历久弥新,positive
历史性,positive
历史悠久,positive
历史新高,positive
历史纪录,positive
厉害,positive
厉行,positive
压倒性,positive
压轴戏,positive
厘清,positive
厚实,positive
厚望,positive
厚爱,positive
厚礼,positive
厚积薄发,positive
厚道,positive
厚重,positive
及时,positive
及时发现,positive
及时雨,positive
友人,positive
友军,positive
友善,positive
友好,positive
友好合作,positive
友好地,positive
友好的,positive
友情,positive
友爱,positive
友谊,positive
友邦,positive
友邻,positive
双创,positive
双喜临门,positive
双增,positive
双增长,positive
双料冠军,positive
双方同意,positive
双赢,positive
反增,positive
反弹,positive
反超,positive
发光,positive
发力,positive
发奋图强,positive
发家,positive
发展,positive
发展前景,positive
发展壮大,positive
发展期,positive
发展潜力,positive
发展空间,positive
发愤图强,positive
发扬,positive
发挥,positive
发挥优势,positive
发明,positive
发明专利,positive
发明家,positive
发明者,positive
发现,positive
发祥地,positive
发财,positive
发财致富,positive
发起,positive
发达,positive
取得成功,positive
取得成效,positive
取悦,positive
取经,positive
取胜,positive
取长补短,positive
受到喜爱的,positive
受到重视,positive
受大众欢迎,positive
受宠,positive
受尊敬的,positive
受惠,positive
受欢迎,positive
受欢迎的,positive
受热捧,positive
受益,positive
受益匪浅,positive
受益者,positive
变好,positive
变得更好,positive
变清,positive
变稳,positive
变通,positive
变革,positive
口碑,positive
只争朝夕,positive
叫好,positive
叫绝,positive
可信,positive
可信任,positive
可信赖,positive
可免于,positive
可取,positive
可口,positive
可喜,positive
可喜成绩,positive
可喜的,positive
可嘉,positive
可圈可点,positive
可意,positive
可持续性,positive
可控,positive
可敬的,positive
可爱的,positive
可用,positive
可行,positive
可行的,positive
可观,positive
可贵,positive
可靠,positive
可靠性,positive
可预测,positive
叱咤,positive
叱咤风云,positive
史册,positive
史无前例,positive
史诗,positive
号角,positive
叹为观止,positive
叹服,positive
吃苦耐劳,positive
吃香,positive
各具特色,positive
各司其职,positive
各有千秋,positive
各有所长,positive
各有特色,positive
合乎,positive
合作,positive
合意,positive
合法,positive
合理,positive
合理充裕,positive
合理化,positive
合算,positive
合算的,positive
合适,positive
吉利,positive
吉庆,positive
吉日,positive
吉星,positive
吉祥,positive
吉祥物,positive
同心,positive
同心协力,positive
同心同德,positive
同意,positive
同舟共济,positive
名产,positive
名优,positive
名列,positive
名列前茅,positive
名列第一,positive
名利双收,positive
名副其实,positive
名品,positive
名噪一时,positive
名城,positive
名士,positive
名声在外,positive
名声大噪,positive
名家,positive
名师,positive
名正言顺,positive
名气,positive
名流,positive
名满天下,positive
名牌,positive
名牌产品,positive
名符其实,positive
名言,positive
名誉,positive
名贵,positive
名门,positive
名闻遐迩,positive
名震,positive
后发优势,positive
后来居上,positive
后盾,positive
后起之秀,positive
向上,positive
向往,positive
否极泰来,positive
含蓄,positive
启示,positive
启航,positive
启迪,positive
吸引,positive
吸引人,positive
吸引力,positive
吸睛,positive
吸筹,positive
吸纳,positive
吸金,positive
告捷,positive
呕心沥血,positive
周全,positive
周到,positive
周密,positive
周正,positive
周详,positive
呵护,positive
呼风唤雨,positive
和乐,positive
和平,positive
和睦,positive
和睦的,positive
和缓,positive
和衷共济,positive
和解,positive
和谐,positive
和顺,positive
咸鱼翻身,positive
品尝,positive
品德,positive
品牌优势,positive
品牌形象,positive
品行端正,positive
品质,positive
品鉴,positive
哈哈,positive
响亮,positive
响当当,positive
唤起,positive
唤醒,positive
唯一地,positive
唱多,positive
商机,positive
啧啧称赞,positive
善举,positive
善加利用,positive
善始善终,positive
善意,positive
善款,positive
善用,positive
善良,positive
善行,positive
喜,positive
喜上眉梢,positive
喜不自禁,positive
喜不自胜,positive
喜乐,positive
喜事,positive
喜人,positive
喜从天降,positive
喜兆,positive
喜出望外,positive
喜好,positive
喜孜孜,positive
喜庆,positive
喜形于色,positive
喜悦,positive
喜报,positive
喜欢,positive
喜欢的,positive
喜气,positive
喜气洋洋,positive
喜洋洋,positive
喜滋滋,positive
喜爱,positive
喜笑颜开,positive
喜获,positive
喜讯,positive
喜闻乐见,positive
喝彩,positive
喷薄,positive
嘉奖,positive
嘉许,positive
器重,positive
四连冠,positive
四连板,positive
回升,positive
回味,positive
回报,positive
回敬,positive
回暖,positive
回暖迹象,positive
回正,positive
回涨,positive
回温,positive
回礼,positive
回补,positive
回馈,positive
因地制宜,positive
团结,positive
团结奋进,positive
固若金汤,positive
国内首创,positive
国家科技进步奖,positive
国家补贴,positive
国泰民安,positive
国际化,positive
圆润,positive
圆满,positive
圆满成功,positive
土壤改良,positive
圣人,positive
圣地,positive
圣洁,positive
圣贤,positive
在握,positive
在理,positive
地利,positive
地道,positive
均匀,positive
均等,positive
均衡,positive
坐享,positive
坐稳,positive
坚不可摧,positive
坚信,positive
坚决,positive
坚固,positive
坚守,positive
坚定,positive
坚定不移,positive
坚定的,positive
坚实,positive
坚强,positive
坚强有力,positive
坚强的,positive
坚持不懈,positive
坚挺,positive
坚毅,positive
坚韧,positive
坚韧不拔,positive
坦然,positive
坦率,positive
坦诚,positive
坦途,positive
垂爱,positive
垂青,positive
埋头苦干,positive
培养,positive
培育,positive
基本完成,positive
堪称,positive
增产,positive
增产增收,positive
增值,positive
增值率,positive
增值额,positive
增光,positive
增利,positive
增加一倍,positive
增加收入,positive
增容,positive
增强,positive
增持,positive
增持价,positive
增持量,positive
增收,positive
增效,positive
增效益,positive
增添,positive
增益,positive
增至,positive
增色,positive
增资,positive
增赢,positive
增超,positive
增进,positive
增进友谊,positive
增速,positive
增长,positive
增长势头,positive
增长潜力,positive
增高,positive
壮丽,positive
壮举,positive
壮健,positive
壮士,positive
壮大,positive
壮实,positive
壮志,positive
壮硕,positive
壮美,positive
壮观,positive
壮观的,positive
声势浩大,positive
声名鹊起,positive
声威,positive
声望,positive
声誉,positive
备受市场关注,positive
备受瞩目,positive
复产,positive
复兴,positive
复工,positive
复活,positive
复苏,positive
多产,positive
多功能性,positive
多彩,positive
多才多艺的,positive
多样,positive
多样化,positive
多福,positive
多谋善断,positive
够用,positive
大丰收,positive
大义,positive
大人物,positive
大作,positive
大佬,positive
大典,positive
大刀阔斧,positive
大力发展,positive
大力开展,positive
大力推广,positive
大力提倡,positive
大力支持,positive
大功,positive
大功告成,positive
大势,positive
大势所趋,positive
大升,positive
大卖,positive
大受欢迎,positive
大名鼎鼎,positive
大喜过望,positive
大团结,positive
大型,positive
大增,positive
大大提高,positive
大大缩短,positive
大奖,positive
大好,positive
大好时机,positive
大展身手,positive
大市,positive
大师,positive
大幅,positive
大幅上涨,positive
大幅反弹,positive
大幅增长,positive
大幅度上涨,positive
大幅度提高,positive
大幅提升,positive
大幅提高,positive
大幅高开,positive
大开眼界,positive
大快人心,positive
大手笔,positive
大提速,positive
大放异彩,positive
大方,positive
大显身手,positive
大有作为,positive
大有可为,positive
大有益处,positive
大有裨益,positive
大涨,positive
大满贯,positive
大潮,positive
大热,positive
大牛市,positive
大牛股,positive
大礼,positive
大礼包,positive
大笑,positive
大红包,positive
大统,positive
大而全,positive
大胆,positive
大获,positive
大获全胜,positive
大获成功,positive
大行情,positive
大赢家,positive
大量,positive
大阳线,positive
天使,positive
天才,positive
天时地利,positive
天时地利人和,positive
天然,positive
天理,positive
天籁,positive
天赋,positive
天赐,positive
太好,positive
太好了,positive
太平,positive
夯实,positive
失而复得,positive
头名,positive
头把交椅,positive
头等,positive
头筹,positive
夸奖,positive
夸赞,positive
夹道欢迎,positive
夺冠,positive
夺回,positive
夺得,positive
夺魁,positive
奇兵,positive
奇功,positive
奇妙,positive
奇才,positive
奇特,positive
奇葩,positive
奇观,positive
奇迹,positive
奉献,positive
奋争,positive
奋力,positive
奋力拼搏,positive
奋勇,positive
奋勇争先,positive
奋勇向前,positive
奋发,positive
奋发有为,positive
奋发进取,positive
奋战,positive
奋斗,positive
奋起,positive
奋起直追,positive
奋进,positive
奏效,positive
契合,positive
契机,positive
奔头,positive
奔腾,positive
奔赴,positive
奖,positive
奖励,positive
奖励的,positive
奖品,positive
奖学金,positive
奖杯,positive
奖牌,positive
奖状,positive
奖章,positive
奖赏,positive
奖金,positive
奖项,positive
套期保值,positive
奠基,positive
奠定,positive
奥妙,positive
好上加好,positive
好事,positive
好于,positive
好于预期,positive
好人,positive
好处,positive
好学,positive
好意,positive
好感,positive
好日子,positive
好时机,positive
好榜样,positive
好消息,positive
好的,positive
好看,positive
好评,positive
好转,positive
好过,positive
好运,positive
如意,positive
如愿,positive
如愿以偿,positive
如日中天,positive
如期,positive
如期完成,positive
如沐春风,positive
如火如荼,positive
如痴如狂,positive
如痴如醉,positive
如获至宝,positive
如虎添翼,positive
如虹,positive
如醉如痴,positive
如鱼得水,positive
妖股,positive
妙不可言,positive
妙计,positive
妙语,positive
妙趣横生,positive
妥善,positive
妥善处理,positive
妥善处置,positive
妥善解决,positive
妥当,positive
妥贴,positive
妥适,positive
妩媚,positive
始创,positive
始终不渝,positive
始终保持,positive
始终如一,positive
委以重任,positive
威信,positive
威望,positive
威风,positive
娴熟,positive
婉转,positive
媲美,positive
孕育,positive
孜孜,positive
孜孜不倦,positive
孜孜以求,positive
孝敬,positive
孝顺,positive
学以致用,positive
学会,positive
学好,positive
学成,positive
学成归国,positive
学者,positive
学识,positive
学雷锋,positive
宁静,positive
守信,positive
守法,positive
安全,positive
安全可靠,positive
安分守己,positive
安宁,positive
安安稳稳,positive
安安静静,positive
安定,positive
安居乐业,positive
安康,positive
安心,positive
安慰,positive
安泰,positive
安然,positive
安然无恙,positive
安睡,positive
安祥,positive
安稳,positive
安身,positive
安身立命,positive
安逸,positive
安静,positive
完全,positive
完全地,positive
完全恢复,positive
完全符合,positive
完善,positive
完备,positive
完好,positive
完成的,positive
完整,positive
完满,positive
完美,positive
完美地,positive
完美的,positive
完胜,positive
宏丽,positive
宏伟,positive
宏伟目标,positive
宏图,positive
宏大,positive
定心丸,positive
定海神针,positive
宜人,positive
宜居,positive
宜居城市,positive
宝库,positive
宝座,positive
宝藏,positive
宝贝,positive
宝贵,positive
实事求是,positive
实力,positive
实力雄厚,positive
实在,positive
实实在在,positive
实干,positive
实惠,positive
实打实,positive
实效,positive
实现,positive
实现目标,positive
实用,positive
实用新型,positive
实绩,positive
实至名归,positive
实话,positive
宠儿,positive
宠幸,positive
宠爱,positive
宠爱的,positive
审批同意,positive
客观,positive
家喻户晓,positive
容易的,positive
宽宏,positive
宽容,positive
宽广,positive
宽恕,positive
宽恕的,positive
宽慰,positive
宽敞,positive
宽松,positive
宽畅,positive
宽绰,positive
宽裕,positive
宽阔,positive
宾朋,positive
寄予厚望,positive
密切协作,positive
密切合作,positive
密切地,positive
密切配合,positive
富,positive
富丽堂皇,positive
富余,positive
富国,positive
富庶,positive
富庶的,positive
富强,positive
富有,positive
富有成效,positive
富民,positive
富源,positive
富裕,positive
富贵,positive
富足,positive
富饶,positive
对症下药,positive
导引,positive
封板,positive
封死,positive
将有助,positive
尊崇,positive
尊敬,positive
尊称,positive
尊贵,positive
尊重,positive
小天使,positive
小巧,positive
小幅上涨,positive
小康,positive
小有名气,positive
小涨,positive
小高潮,positive
尖兵,positive
尖端,positive
尖端技术,positive
尖端科技,positive
尚好,positive
尝鲜,positive
尧舜,positive
尽力,positive
尽如人意,positive
尽情,positive
尽职,positive
尽责,positive
居前,positive
居首,positive
居首位,positive
展望,positive
展翅,positive
属意,positive
履约,positive
履行,positive
履行职责,positive
山清水秀,positive
屹立,positive
峥嵘,positive
崇尚,positive
崇拜,positive
崇敬,positive
崇高,positive
崛起,positive
崭新,positive
崭露头角,positive
巅峰,positive
巅峰时刻,positive
巅峰期,positive
巍峨,positive
工整,positive
左右手,positive
巧夺天工,positive
巧妙,positive
巧妙的,positive
巧思,positive
巧避,positive
巨人,positive
巨匠,positive
巨大作用,positive
巨大成功,positive
巨大成就,positive
巨头,positive
巨子,positive
巨无霸,positive
巨著,positive
巨额利润,positive
巩固,positive
已具,positive
已显,positive
已涨,positive
已现,positive
已高达,positive
巾帼,positive
市场前景,positive
市场潜力,positive
市场繁荣,positive
市场追捧,positive
布局合理,positive
希冀,positive
希望,positive
带动,positive
带头,positive
带头人,positive
带领,positive
席卷,positive
席卷全国,positive
帮助,positive
帮忙,positive
帮手,positive
帮扶,positive
常青树,positive
干净,positive
干劲,positive
干将,positive
干练,positive
干部群众,positive
平和,positive
平坦,positive
平安,positive
平实,positive
平平淡淡,positive
平平静静,positive
平心静气,positive
平息,positive
平整,positive
平稳,positive
平稳的,positive
平稳过渡,positive
平等,positive
平等互利,positive
平衡,positive
平静,positive
平静下来,positive
平顺,positive
年富力强,positive
年度人物,positive
年终奖金,positive
年轻有为,positive
并列,positive
并列第一,positive
并肩,positive
并行不悖,positive
并进,positive
并重,positive
并驾齐驱,positive
幸事,positive
幸福,positive
幸福的,positive
幸福美好,positive
幸运,positive
幸运儿,positive
幸运地,positive
幻想,positive
幽默,positive
幽默感,positive
广为人知,positive
广为流传,positive
广泛应用,positive
广泛开展,positive
广阔,positive
庄严,positive
庄重,positive
庆典,positive
庆幸,positive
庆祝,positive
庆贺,positive
应付自如,positive
底气,positive
底气十足,positive
底蕴,positive
座上客,positive
康乐,positive
康健,positive
康复,positive
康泰,positive
廉政,positive
廉明,positive
廉正,positive
廉洁,positive
廉洁奉公,positive
廉直,positive
建成,positive
建树,positive
建立,positive
建立健全,positive
建筑节能,positive
建言,positive
建议,positive
建设,positive
建设性,positive
建设性的,positive
开创,positive
开创性,positive
开化,positive
开发,positive
开启,positive
开心,positive
开怀,positive
开拓,positive
开拓市场,positive
开拓者,positive
开放,positive
开放性,positive
开明,positive
开朗,positive
开源节流,positive
开疆拓土,positive
开绿灯,positive
开花,positive
开花结果,positive
开诚布公,positive
开辟,positive
开通,positive
开门红,positive
开阔,positive
异军突起,positive
弄潮儿,positive
引人入胜,positive
引人关注,positive
引人注意,positive
引人注目,positive
引人注目的,positive
引人瞩目,positive
引以为傲,positive
引以为荣,positive
引以为豪,positive
引吭高歌,positive
引导,positive
引进,positive
引领,positive
引领者,positive
弘愿,positive
弘扬,positive
弥足珍贵,positive
弹升,positive
强,positive
强于,positive
强健,positive
